<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PLW,D,20170928,000000,50.7375,51.2388,50.7375,51.0842,498.0351853803754,0
PLW,D,20170929,000000,51.6238,51.7783,50.4694,51.6162,2837.363916710312,0
PLW,D,20171002,000000,51.6238,52.3948,49.3209,50.005,4008.225482340137,0
PLW,D,20171003,000000,50.0826,52.7791,50.0826,52.7791,37472.35890001383,0
PLW,D,20171004,000000,53.3194,53.3194,51.8167,52.3171,1771.855947987874,0
PLW,D,20171005,000000,52.0866,52.7732,50.4753,52.3095,747.0527780705632,0
PLW,D,20171006,000000,52.3095,52.6262,50.5846,52.3564,39450.133241957046,0
PLW,D,20171009,000000,53.1657,53.1657,50.7075,50.7075,1064.3107687575812,0
PLW,D,20171010,000000,51.6238,53.1657,50.1596,52.2185,2250.7359339305426,0
PLW,D,20171011,000000,52.2185,53.042,51.5469,52.0022,278.94759181160447,0
PLW,D,20171012,000000,52.0022,52.3864,50.2372,52.3864,1364.8079599366056,0
PLW,D,20171013,000000,52.3789,52.3789,50.938,51.6238,132.88919609909055,0
PLW,D,20171016,000000,52.3864,52.9719,49.4671,52.7791,4848.6598576695205,0
PLW,D,20171017,000000,53.1657,53.1657,51.7783,52.7732,2983.4223124228256,0
PLW,D,20171018,000000,52.7732,52.7791,50.507,50.8537,6164.382619047003,0
PLW,D,20171019,000000,51.6162,51.6162,50.4694,50.8537,988.8871709716108,0
PLW,D,20171020,000000,51.4633,51.4633,49.5431,50.6691,507.6127850992288,0
PLW,D,20171023,000000,50.0293,50.0293,47.6253,47.6253,5333.525843436472,0
PLW,D,20171024,000000,48.6034,48.6034,44.8521,45.8838,4321.891873132585,0
PLW,D,20171025,000000,46.0382,47.2176,44.3042,47.2176,6712.700202951358,0
PLW,D,20171026,000000,47.2176,48.0028,47.1551,48.0028,1468.9643568791362,0
PLW,D,20171027,000000,48.5349,48.5349,47.7715,47.926,329.2299903355847,0
PLW,D,20171030,000000,47.7715,48.7655,47.2319,48.0028,2967.8587128796894,0
PLW,D,20171031,000000,48.773,50.2372,48.0028,49.3042,1421.0763582848695,0
PLW,D,20171102,000000,49.4671,49.4671,48.3487,48.3487,434.5835872429718,0
PLW,D,20171103,000000,48.357,48.9275,48.357,48.9275,1366.0051599014623,0
PLW,D,20171106,000000,48.9275,48.9275,47.7798,48.8506,1870.0263451061212,0
PLW,D,20171107,000000,48.5416,48.5416,47.4641,48.5416,19947.745814441863,0
PLW,D,20171108,000000,47.4641,48.5416,47.4641,47.7715,1024.803169917311,0
PLW,D,20171109,000000,48.464,48.464,46.4618,47.3546,1087.057568089858,0
PLW,D,20171110,000000,46.2303,48.464,46.2303,48.1407,1403.118358812019,0
PLW,D,20171113,000000,47.7715,48.1407,47.0398,48.1407,372.3291890704249,0
PLW,D,20171114,000000,48.1407,48.1407,47.0089,47.3863,489.6547856263787,0
PLW,D,20171115,000000,47.0089,48.0797,47.0089,48.0797,524.3735846072221,0
PLW,D,20171116,000000,47.4248,48.2333,47.1551,48.2333,1217.552364259235,0
PLW,D,20171117,000000,48.5416,49.6976,48.2726,49.6976,1466.5699569494227,0
PLW,D,20171120,000000,50.0826,50.0826,48.5416,49.9207,1380.3715594797425,0
PLW,D,20171121,000000,49.9207,50.8537,49.3126,50.8537,1610.2339527322233,0
PLW,D,20171122,000000,50.8696,51.9629,50.0826,50.8461,1028.3947698118811,0
PLW,D,20171123,000000,50.8461,51.6088,48.788,51.6088,962.548771744764,0
PLW,D,20171124,000000,51.8551,51.8551,51.2388,51.6238,639.3047812334627,0
PLW,D,20171127,000000,52.3948,52.3948,51.2388,51.6238,8014.05656475056,0
PLW,D,20171128,000000,52.3095,52.3095,50.0826,51.1619,2682.9251212438007,0
PLW,D,20171129,000000,51.6238,51.6238,49.3978,50.2372,828.4623756808168,0
PLW,D,20171130,000000,50.2372,50.2372,47.7715,49.1513,2721.235520119215,0
PLW,D,20171201,000000,50.005,50.005,48.3879,48.8506,220.28479353362758,0
PLW,D,20171204,000000,48.8506,50.0751,47.7715,48.9275,924.2383728693505,0
PLW,D,20171205,000000,48.8506,49.1588,48.464,49.1588,101.7619970128171,0
PLW,D,20171206,000000,49.929,49.929,48.1715,49.0812,106.55079687224378,0
PLW,D,20171207,000000,49.0812,49.1588,48.5416,49.0812,296.9055912844546,0
PLW,D,20171208,000000,49.0812,49.1588,48.3111,49.1588,1157.6923660164016,0
PLW,D,20171211,000000,48.9275,49.8522,48.9275,49.3903,355.5683895624315,0
PLW,D,20171212,000000,49.3903,49.3903,48.7037,49.3126,696.770379546583,0
PLW,D,20171213,000000,49.3126,49.3126,47.7715,47.7715,2080.7335389208956,0
PLW,D,20171214,000000,48.5416,49.1588,47.8482,48.5416,1028.3947698118811,0
PLW,D,20171215,000000,48.5416,48.5416,46.608,46.608,2008.901541029495,0
PLW,D,20171218,000000,47.6871,47.6871,46.2229,47.0005,1617.4171525213635,0
PLW,D,20171219,000000,47.0005,48.9275,47.0005,48.5416,45681.55905903602,0
PLW,D,20171220,000000,49.6976,49.6976,48.5416,48.5416,296.9055912844546,0
PLW,D,20171221,000000,48.5416,48.5416,48.4264,48.5416,39513.58484009445,0
PLW,D,20171222,000000,48.1574,48.5416,47.7798,48.1574,3877.73068617076,0
PLW,D,20171227,000000,48.5416,51.0073,48.5416,50.8461,36731.29212176755,0
PLW,D,20171228,000000,51.5086,51.5086,50.0826,50.776,1738.3343489718873,0
PLW,D,20171229,000000,50.091,50.9313,49.6976,50.0751,2898.4211149180023,0
PLW,D,20180103,000000,49.6207,50.0826,48.6962,49.3126,697.9675795114396,0
PLW,D,20180104,000000,49.3126,49.3126,48.8506,49.3126,1211.5663644349518,0
PLW,D,20180105,000000,50.0826,50.0826,49.6207,49.929,100.56479704796043,0
PLW,D,20180108,000000,49.929,51.9321,49.929,50.7,6516.359408714863,0
PLW,D,20180109,000000,51.6238,52.0866,51.1619,52.0866,6642.065405024815,0
PLW,D,20180110,000000,52.3948,53.1657,51.3156,52.3948,10815.50448251517,0
PLW,D,20180111,000000,52.7029,52.8567,52.0866,52.0866,1856.8571454926978,0
PLW,D,20180112,000000,53.1657,53.6268,52.0866,52.8567,8567.162948514344,0
PLW,D,20180115,000000,52.8567,53.6268,51.7783,51.9321,2571.5855245121306,0
PLW,D,20180116,000000,52.241,53.0103,52.241,53.0103,1609.0367527673668,0
PLW,D,20180117,000000,53.0103,53.0103,52.3948,52.5484,1157.6923660164016,0
PLW,D,20180118,000000,53.0103,55.3215,53.0103,55.3215,21744.74296169173,0
PLW,D,20180119,000000,55.4769,57.4799,55.4769,57.0172,10991.492877349103,0
PLW,D,20180122,000000,57.4799,63.1816,57.4799,63.1816,26925.027209626543,0
PLW,D,20180123,000000,65.6473,71.5035,65.4928,66.2638,36868.970117726065,0
PLW,D,20180124,000000,66.2638,67.0339,62.4106,63.9526,14050.3387875579,0
PLW,D,20180125,000000,63.9526,65.9556,63.9526,65.1847,3865.7586865221933,0
