<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CDR,D,19950323,000000,4.69479,4.69479,4.69479,4.69479,26707.812514387,0
CDR,D,19950324,000000,4.72258,4.72258,4.72258,4.72258,6782.3341714084,0
CDR,D,19950327,000000,4.74109,4.74109,4.74109,4.74109,16886.607006236,0
CDR,D,19950328,000000,4.67626,4.67626,4.67626,4.67626,12819.052594652,0
CDR,D,19950329,000000,4.58315,4.58315,4.58315,4.58315,7200.781523886,0
CDR,D,19950330,000000,4.60177,4.60177,4.60177,4.60177,12709.312725252,0
CDR,D,19950331,000000,4.69479,4.69479,4.69479,4.69479,17024.03824455,0
CDR,D,19950403,000000,4.79697,4.79697,4.79697,4.79697,14493.867610819,0
CDR,D,19950404,000000,4.88988,4.88988,4.88988,4.88988,38014.095881332,0
CDR,D,19950405,000000,4.88988,4.88988,4.88988,4.88988,25647.335645609,0
CDR,D,19950406,000000,4.95492,4.95492,4.95492,4.95492,60892.294635545,0
CDR,D,19950407,000000,5.08519,5.08519,5.08519,5.08519,71157.587652575,0
CDR,D,19950410,000000,5.61501,5.61501,5.61501,5.61501,108971.69031397,0
CDR,D,19950411,000000,5.65216,5.65216,5.65216,5.65216,67077.725965919,0
CDR,D,19950412,000000,5.65216,5.65216,5.65216,5.65216,81236.220331001,0
CDR,D,19950413,000000,5.40119,5.40119,5.40119,5.40119,74752.33758011,0
CDR,D,19950414,000000,5.53136,5.53136,5.53136,5.53136,43097.000486428,0
CDR,D,19950418,000000,5.97764,5.97764,5.97764,5.97764,19645.487835071,0
CDR,D,19950419,000000,6.56333,6.56333,6.56333,6.56333,74050.822900957,0
CDR,D,19950420,000000,6.47032,6.47032,6.47032,6.47032,88621.610980981,0
CDR,D,19950421,000000,6.27511,6.27511,6.27511,6.27511,82596.174226554,0
CDR,D,19950424,000000,6.58196,6.58196,6.58196,6.58196,73756.473905464,0
CDR,D,19950425,000000,6.47032,6.47032,6.47032,6.47032,112129.53197642,0
CDR,D,19950426,000000,5.94049,5.94049,5.94049,5.94049,52007.467639188,0
CDR,D,19950427,000000,6.04268,6.04268,6.04268,6.04268,87358.064073499,0
CDR,D,19950428,000000,6.07992,6.07992,6.07992,6.07992,99303.300137978,0
CDR,D,19950504,000000,6.29375,6.29375,6.29375,6.29375,75107.197344712,0
CDR,D,19950505,000000,6.50757,6.50757,6.50757,6.50757,80098.822993017,0
CDR,D,19950509,000000,6.85156,6.85156,6.85156,6.85156,75063.096275701,0
CDR,D,19950510,000000,7.54871,7.54871,7.54871,7.54871,140999.32247861,0
CDR,D,19950511,000000,8.23679,8.23679,8.23679,8.23679,202243.40005999,0
CDR,D,19950512,000000,7.84618,7.84618,7.84618,7.84618,113965.36717479,0
CDR,D,19950515,000000,8.34823,8.34823,8.34823,8.34823,94556.794384873,0
CDR,D,19950516,000000,7.51156,7.51156,7.51156,7.51156,62277.888687499,0
CDR,D,19950517,000000,7.51156,7.51156,7.51156,7.51156,145788.90369447,0
CDR,D,19950518,000000,7.24206,7.24206,7.24206,7.24206,114945.8467556,0
